StockBroker using Threading...
Broker          Stock           Value           Changes   Date and Time
Broker 3        Banking         116             12        9/21/2023 11:13:05 PM
Broker 4        Banking         116             12        9/21/2023 11:13:05 PM
Broker 1        Retail          42              12        9/21/2023 11:13:05 PM
Broker 4        Retail          42              12        9/21/2023 11:13:05 PM
Broker 1        Technology      198             13        9/21/2023 11:13:05 PM
Broker 2        Technology      198             13        9/21/2023 11:13:05 PM
Broker 3        Technology      198             13        9/21/2023 11:13:05 PM
Broker 4        Technology      198             13        9/21/2023 11:13:05 PM
Broker 2        Banking         117             13        9/21/2023 11:13:05 PM
Broker 3        Banking         117             13        9/21/2023 11:13:05 PM
Broker 4        Banking         117             13        9/21/2023 11:13:05 PM
Broker 1        Retail          43              13        9/21/2023 11:13:05 PM
Broker 4        Retail          43              13        9/21/2023 11:13:05 PM
Broker 2        Commodity       633             13        9/21/2023 11:13:05 PM
Broker 4        Commodity       633             13        9/21/2023 11:13:05 PM
Broker 2        Banking         120             14        9/21/2023 11:13:06 PM
Broker 3        Banking         120             14        9/21/2023 11:13:06 PM
Broker 4        Banking         120             14        9/21/2023 11:13:06 PM
Broker 1        Technology      200             14        9/21/2023 11:13:06 PM
Broker 2        Technology      200             14        9/21/2023 11:13:06 PM
Broker 3        Technology      200             14        9/21/2023 11:13:06 PM
Broker 4        Technology      200             14        9/21/2023 11:13:06 PM
Broker 1        Retail          44              14        9/21/2023 11:13:06 PM
Broker 4        Retail          44              14        9/21/2023 11:13:06 PM
Broker 2        Commodity       641             14        9/21/2023 11:13:06 PM
Broker 4        Commodity       641             14        9/21/2023 11:13:06 PM
Broker 2        Commodity       660             15        9/21/2023 11:13:06 PM
Broker 4        Commodity       660             15        9/21/2023 11:13:06 PM
Broker 1        Retail          45              15        9/21/2023 11:13:06 PM
Broker 4        Retail          45              15        9/21/2023 11:13:06 PM
Broker 2        Banking         121             15        9/21/2023 11:13:06 PM
Broker 3        Banking         121             15        9/21/2023 11:13:06 PM
Broker 4        Banking         121             15        9/21/2023 11:13:06 PM
Broker 1        Technology      203             15        9/21/2023 11:13:06 PM
Broker 2        Technology      203             15        9/21/2023 11:13:06 PM
Broker 3        Technology      203             15        9/21/2023 11:13:06 PM
Broker 4        Technology      203             15        9/21/2023 11:13:06 PM
Broker 2        Commodity       661             16        9/21/2023 11:13:07 PM
Broker 4        Commodity       661             16        9/21/2023 11:13:07 PM
Broker 1        Technology      207             16        9/21/2023 11:13:07 PM
Broker 2        Technology      207             16        9/21/2023 11:13:07 PM
Broker 3        Technology      207             16        9/21/2023 11:13:07 PM
Broker 4        Technology      207             16        9/21/2023 11:13:07 PM
Broker 1        Retail          46              16        9/21/2023 11:13:07 PM
Broker 4        Retail          46              16        9/21/2023 11:13:07 PM
Broker 2        Banking         122             16        9/21/2023 11:13:07 PM
Broker 3        Banking         122             16        9/21/2023 11:13:07 PM
Broker 4        Banking         122             16        9/21/2023 11:13:07 PM
Broker 1        Retail          47              17        9/21/2023 11:13:07 PM
Broker 4        Retail          47              17        9/21/2023 11:13:07 PM
Broker 1        Technology      209             17        9/21/2023 11:13:07 PM
Broker 2        Technology      209             17        9/21/2023 11:13:07 PM
Broker 3        Technology      209             17        9/21/2023 11:13:07 PM
Broker 4        Technology      209             17        9/21/2023 11:13:07 PM
Broker 2        Commodity       672             17        9/21/2023 11:13:07 PM
Broker 4        Commodity       672             17        9/21/2023 11:13:07 PM
Broker 2        Banking         123             17        9/21/2023 11:13:07 PM
Broker 3        Banking         123             17        9/21/2023 11:13:07 PM
Broker 4        Banking         123             17        9/21/2023 11:13:07 PM
Broker 1        Retail          48              18        9/21/2023 11:13:08 PM
Broker 4        Retail          48              18        9/21/2023 11:13:08 PM
Broker 1        Technology      211             18        9/21/2023 11:13:08 PM
Broker 2        Technology      211             18        9/21/2023 11:13:08 PM
Broker 3        Technology      211             18        9/21/2023 11:13:08 PM
Broker 4        Technology      211             18        9/21/2023 11:13:08 PM
Broker 2        Banking         124             18        9/21/2023 11:13:08 PM
Broker 3        Banking         124             18        9/21/2023 11:13:08 PM
Broker 4        Banking         124             18        9/21/2023 11:13:08 PM
Broker 2        Commodity       680             18        9/21/2023 11:13:08 PM
Broker 4        Commodity       680             18        9/21/2023 11:13:08 PM
Broker 1        Technology      215             19        9/21/2023 11:13:08 PM
Broker 2        Technology      215             19        9/21/2023 11:13:08 PM
Broker 3        Technology      215             19        9/21/2023 11:13:08 PM
Broker 4        Technology      215             19        9/21/2023 11:13:08 PM
Broker 1        Retail          49              19        9/21/2023 11:13:08 PM
Broker 4        Retail          49              19        9/21/2023 11:13:08 PM
Broker 2        Commodity       689             19        9/21/2023 11:13:08 PM
Broker 4        Commodity       689             19        9/21/2023 11:13:08 PM
Broker 2        Banking         127             19        9/21/2023 11:13:08 PM
Broker 3        Banking         127             19        9/21/2023 11:13:08 PM
Broker 4        Banking         127             19        9/21/2023 11:13:08 PM
Broker 1        Retail          50              20        9/21/2023 11:13:09 PM
Broker 4        Retail          50              20        9/21/2023 11:13:09 PM
Broker 2        Banking         129             20        9/21/2023 11:13:09 PM
Broker 3        Banking         129             20        9/21/2023 11:13:09 PM
Broker 4        Banking         129             20        9/21/2023 11:13:09 PM
Broker 2        Commodity       702             20        9/21/2023 11:13:09 PM
Broker 4        Commodity       702             20        9/21/2023 11:13:09 PM
Broker 1        Technology      216             20        9/21/2023 11:13:09 PM
Broker 2        Technology      216             20        9/21/2023 11:13:09 PM
Broker 3        Technology      216             20        9/21/2023 11:13:09 PM
Broker 4        Technology      216             20        9/21/2023 11:13:09 PM
Broker 1        Retail          51              21        9/21/2023 11:13:09 PM
Broker 4        Retail          51              21        9/21/2023 11:13:09 PM
Broker 2        Banking         131             21        9/21/2023 11:13:09 PM
Broker 3        Banking         131             21        9/21/2023 11:13:09 PM
Broker 4        Banking         131             21        9/21/2023 11:13:09 PM
Broker 2        Commodity       718             21        9/21/2023 11:13:09 PM
Broker 4        Commodity       718             21        9/21/2023 11:13:09 PM
Broker 1        Technology      217             21        9/21/2023 11:13:09 PM
Broker 2        Technology      217             21        9/21/2023 11:13:09 PM
Broker 3        Technology      217             21        9/21/2023 11:13:09 PM
Broker 4        Technology      217             21        9/21/2023 11:13:09 PM
Broker 2        Commodity       727             22        9/21/2023 11:13:10 PM
Broker 4        Commodity       727             22        9/21/2023 11:13:10 PM
Broker 2        Banking         132             22        9/21/2023 11:13:10 PM
Broker 3        Banking         132             22        9/21/2023 11:13:10 PM
Broker 4        Banking         132             22        9/21/2023 11:13:10 PM
Broker 1        Retail          52              22        9/21/2023 11:13:10 PM
Broker 4        Retail          52              22        9/21/2023 11:13:10 PM
Broker 1        Technology      219             22        9/21/2023 11:13:10 PM
Broker 2        Technology      219             22        9/21/2023 11:13:10 PM
Broker 3        Technology      219             22        9/21/2023 11:13:10 PM
Broker 4        Technology      219             22        9/21/2023 11:13:10 PM
Broker 1        Retail          53              23        9/21/2023 11:13:10 PM
Broker 4        Retail          53              23        9/21/2023 11:13:10 PM
Broker 2        Commodity       731             23        9/21/2023 11:13:10 PM
Broker 4        Commodity       731             23        9/21/2023 11:13:10 PM
Broker 2        Banking         133             23        9/21/2023 11:13:10 PM
Broker 3        Banking         133             23        9/21/2023 11:13:10 PM
Broker 4        Banking         133             23        9/21/2023 11:13:10 PM
Broker 1        Technology      223             23        9/21/2023 11:13:10 PM
Broker 2        Technology      223             23        9/21/2023 11:13:10 PM
Broker 3        Technology      223             23        9/21/2023 11:13:10 PM
Broker 4        Technology      223             23        9/21/2023 11:13:10 PM
Broker 1        Technology      227             24        9/21/2023 11:13:11 PM
Broker 2        Technology      227             24        9/21/2023 11:13:11 PM
Broker 3        Technology      227             24        9/21/2023 11:13:11 PM
Broker 4        Technology      227             24        9/21/2023 11:13:11 PM
Broker 2        Commodity       741             24        9/21/2023 11:13:11 PM
Broker 4        Commodity       741             24        9/21/2023 11:13:11 PM
Broker 1        Retail          54              24        9/21/2023 11:13:11 PM
Broker 4        Retail          54              24        9/21/2023 11:13:11 PM
Broker 2        Banking         134             24        9/21/2023 11:13:11 PM
Broker 3        Banking         134             24        9/21/2023 11:13:11 PM
Broker 4        Banking         134             24        9/21/2023 11:13:11 PM
Broker 2        Banking         137             25        9/21/2023 11:13:11 PM
Broker 3        Banking         137             25        9/21/2023 11:13:11 PM
Broker 4        Banking         137             25        9/21/2023 11:13:11 PM
Broker 1        Technology      228             25        9/21/2023 11:13:11 PM
Broker 2        Technology      228             25        9/21/2023 11:13:11 PM
Broker 3        Technology      228             25        9/21/2023 11:13:11 PM
Broker 4        Technology      228             25        9/21/2023 11:13:11 PM
Broker 2        Commodity       744             25        9/21/2023 11:13:11 PM
Broker 4        Commodity       744             25        9/21/2023 11:13:11 PM
Broker 1        Retail          55              25        9/21/2023 11:13:11 PM
Broker 4        Retail          55              25        9/21/2023 11:13:11 PM
