StockBroker using Async, Task, Await...
Broker          Stock           Value           Changes   Date and Time
Broker 2        Banking         120             16        9/21/2023 11:17:04 PM
Broker 3        Banking         120             16        9/21/2023 11:17:04 PM
Broker 4        Banking         120             16        9/21/2023 11:17:04 PM
Broker 1        Retail          47              17        9/21/2023 11:17:04 PM
Broker 4        Retail          47              17        9/21/2023 11:17:04 PM
Broker 2        Commodity       715             17        9/21/2023 11:17:04 PM
Broker 4        Commodity       715             17        9/21/2023 11:17:04 PM
Broker 1        Technology      207             17        9/21/2023 11:17:04 PM
Broker 2        Technology      207             17        9/21/2023 11:17:04 PM
Broker 3        Technology      207             17        9/21/2023 11:17:04 PM
Broker 4        Technology      207             17        9/21/2023 11:17:04 PM
Broker 2        Banking         123             17        9/21/2023 11:17:04 PM
Broker 3        Banking         123             17        9/21/2023 11:17:04 PM
Broker 4        Banking         123             17        9/21/2023 11:17:04 PM
Broker 1        Retail          48              18        9/21/2023 11:17:05 PM
Broker 4        Retail          48              18        9/21/2023 11:17:05 PM
Broker 2        Commodity       733             18        9/21/2023 11:17:05 PM
Broker 4        Commodity       733             18        9/21/2023 11:17:05 PM
Broker 1        Technology      208             18        9/21/2023 11:17:05 PM
Broker 2        Technology      208             18        9/21/2023 11:17:05 PM
Broker 3        Technology      208             18        9/21/2023 11:17:05 PM
Broker 4        Technology      208             18        9/21/2023 11:17:05 PM
Broker 2        Banking         124             18        9/21/2023 11:17:05 PM
Broker 3        Banking         124             18        9/21/2023 11:17:05 PM
Broker 4        Banking         124             18        9/21/2023 11:17:05 PM
Broker 1        Retail          49              19        9/21/2023 11:17:05 PM
Broker 4        Retail          49              19        9/21/2023 11:17:05 PM
Broker 2        Commodity       749             19        9/21/2023 11:17:05 PM
Broker 4        Commodity       749             19        9/21/2023 11:17:05 PM
Broker 1        Technology      209             19        9/21/2023 11:17:05 PM
Broker 2        Technology      209             19        9/21/2023 11:17:05 PM
Broker 3        Technology      209             19        9/21/2023 11:17:05 PM
Broker 4        Technology      209             19        9/21/2023 11:17:05 PM
Broker 2        Banking         125             19        9/21/2023 11:17:06 PM
Broker 3        Banking         125             19        9/21/2023 11:17:06 PM
Broker 4        Banking         125             19        9/21/2023 11:17:06 PM
Broker 1        Retail          50              20        9/21/2023 11:17:06 PM
Broker 4        Retail          50              20        9/21/2023 11:17:06 PM
Broker 2        Commodity       768             20        9/21/2023 11:17:06 PM
Broker 4        Commodity       768             20        9/21/2023 11:17:06 PM
Broker 1        Technology      213             20        9/21/2023 11:17:06 PM
Broker 2        Technology      213             20        9/21/2023 11:17:06 PM
Broker 3        Technology      213             20        9/21/2023 11:17:06 PM
Broker 4        Technology      213             20        9/21/2023 11:17:06 PM
Broker 2        Banking         128             20        9/21/2023 11:17:06 PM
Broker 3        Banking         128             20        9/21/2023 11:17:06 PM
Broker 4        Banking         128             20        9/21/2023 11:17:06 PM
Broker 1        Retail          51              21        9/21/2023 11:17:06 PM
Broker 4        Retail          51              21        9/21/2023 11:17:06 PM
Broker 2        Commodity       782             21        9/21/2023 11:17:06 PM
Broker 4        Commodity       782             21        9/21/2023 11:17:06 PM
Broker 1        Technology      214             21        9/21/2023 11:17:06 PM
Broker 2        Technology      214             21        9/21/2023 11:17:06 PM
Broker 3        Technology      214             21        9/21/2023 11:17:06 PM
Broker 4        Technology      214             21        9/21/2023 11:17:06 PM
Broker 2        Banking         131             21        9/21/2023 11:17:07 PM
Broker 3        Banking         131             21        9/21/2023 11:17:07 PM
Broker 4        Banking         131             21        9/21/2023 11:17:07 PM
Broker 1        Retail          52              22        9/21/2023 11:17:07 PM
Broker 4        Retail          52              22        9/21/2023 11:17:07 PM
Broker 2        Commodity       785             22        9/21/2023 11:17:07 PM
Broker 4        Commodity       785             22        9/21/2023 11:17:07 PM
Broker 1        Technology      215             22        9/21/2023 11:17:07 PM
Broker 2        Technology      215             22        9/21/2023 11:17:07 PM
Broker 3        Technology      215             22        9/21/2023 11:17:07 PM
Broker 4        Technology      215             22        9/21/2023 11:17:07 PM
Broker 2        Banking         134             22        9/21/2023 11:17:07 PM
Broker 3        Banking         134             22        9/21/2023 11:17:07 PM
Broker 4        Banking         134             22        9/21/2023 11:17:07 PM
Broker 1        Retail          53              23        9/21/2023 11:17:07 PM
Broker 4        Retail          53              23        9/21/2023 11:17:07 PM
Broker 2        Commodity       792             23        9/21/2023 11:17:07 PM
Broker 4        Commodity       792             23        9/21/2023 11:17:07 PM
Broker 1        Technology      218             23        9/21/2023 11:17:07 PM
Broker 2        Technology      218             23        9/21/2023 11:17:07 PM
Broker 3        Technology      218             23        9/21/2023 11:17:07 PM
Broker 4        Technology      218             23        9/21/2023 11:17:07 PM
Broker 2        Banking         137             23        9/21/2023 11:17:08 PM
Broker 3        Banking         137             23        9/21/2023 11:17:08 PM
Broker 4        Banking         137             23        9/21/2023 11:17:08 PM
Broker 1        Retail          54              24        9/21/2023 11:17:08 PM
Broker 4        Retail          54              24        9/21/2023 11:17:08 PM
Broker 2        Commodity       797             24        9/21/2023 11:17:08 PM
Broker 4        Commodity       797             24        9/21/2023 11:17:08 PM
Broker 1        Technology      220             24        9/21/2023 11:17:08 PM
Broker 2        Technology      220             24        9/21/2023 11:17:08 PM
Broker 3        Technology      220             24        9/21/2023 11:17:08 PM
Broker 4        Technology      220             24        9/21/2023 11:17:08 PM
Broker 2        Banking         139             24        9/21/2023 11:17:08 PM
Broker 3        Banking         139             24        9/21/2023 11:17:08 PM
Broker 4        Banking         139             24        9/21/2023 11:17:08 PM
Broker 1        Retail          55              25        9/21/2023 11:17:08 PM
Broker 4        Retail          55              25        9/21/2023 11:17:08 PM
Broker 2        Commodity       814             25        9/21/2023 11:17:08 PM
Broker 4        Commodity       814             25        9/21/2023 11:17:08 PM
Broker 1        Technology      221             25        9/21/2023 11:17:08 PM
Broker 2        Technology      221             25        9/21/2023 11:17:08 PM
Broker 3        Technology      221             25        9/21/2023 11:17:08 PM
Broker 4        Technology      221             25        9/21/2023 11:17:08 PM
Broker 2        Banking         141             25        9/21/2023 11:17:09 PM
Broker 3        Banking         141             25        9/21/2023 11:17:09 PM
Broker 4        Banking         141             25        9/21/2023 11:17:09 PM
